[19-12-2016 | 22:58:53] Resume
[19-12-2016 | 22:58:53] Move window to correct position.
[19-12-2016 | 22:59:59] Pause
[19-12-2016 | 23:00:00] Resume
[19-12-2016 | 23:00:00] Move window to correct position.
[19-12-2016 | 23:00:02] Pause
[19-12-2016 | 23:00:07] Resume
[19-12-2016 | 23:00:07] Move window to correct position.
[19-12-2016 | 23:04:41] Pause
[19-12-2016 | 23:04:43] Resume
[19-12-2016 | 23:04:43] Move window to correct position.
[19-12-2016 | 23:04:45] Switch to attack boss.
[19-12-2016 | 23:05:27] Pause
[19-12-2016 | 23:11:32] Resume
[19-12-2016 | 23:11:32] Move window to correct position.
[19-12-2016 | 23:11:33] Upgrade level player.
[19-12-2016 | 23:11:38] Upgrade level player.
[19-12-2016 | 23:11:39] Upgrade level player.
[19-12-2016 | 23:11:40] Upgrade level player.
[19-12-2016 | 23:11:41] Upgrade level player.
[19-12-2016 | 23:11:41] Upgrade level player.
[19-12-2016 | 23:11:42] Upgrade level player.
[19-12-2016 | 23:11:45] Upgrade level player.
[19-12-2016 | 23:11:50] Upgrade level player.
[19-12-2016 | 23:11:53] Upgrade level player.
[19-12-2016 | 23:11:59] Upgrade level player.
[19-12-2016 | 23:12:05] Upgrade level player.
[19-12-2016 | 23:12:07] Upgrade level player.
[19-12-2016 | 23:12:09] Upgrade level player.
[19-12-2016 | 23:12:12] Upgrade level player.
[19-12-2016 | 23:12:16] Upgrade level player.
[19-12-2016 | 23:12:19] Upgrade level player.
[19-12-2016 | 23:12:24] Upgrade level player.
[19-12-2016 | 23:12:26] Upgrade level player.
[19-12-2016 | 23:12:31] Upgrade level player.
[19-12-2016 | 23:12:34] Upgrade level player.
[19-12-2016 | 23:12:37] Upgrade level player.
[19-12-2016 | 23:12:41] Upgrade level player.
[19-12-2016 | 23:12:42] Upgrade level player.
[19-12-2016 | 23:12:43] Upgrade level player.
[19-12-2016 | 23:12:48] Upgrade level player.
[19-12-2016 | 23:12:50] Upgrade level player.
[19-12-2016 | 23:12:51] Upgrade level player.
[19-12-2016 | 23:12:51] Upgrade level player.
[19-12-2016 | 23:12:53] Upgrade level player.
[19-12-2016 | 23:12:57] Upgrade level player.
[19-12-2016 | 23:13:01] Upgrade level player.
[19-12-2016 | 23:13:04] Upgrade level player.
[19-12-2016 | 23:13:07] Upgrade level player.
[19-12-2016 | 23:13:08] Upgrade level player.
[19-12-2016 | 23:13:09] Upgrade level player.
[19-12-2016 | 23:13:12] Upgrade level player.
[19-12-2016 | 23:13:16] Upgrade level player.
[19-12-2016 | 23:13:17] Upgrade level player.
[19-12-2016 | 23:13:18] Upgrade level player.
[19-12-2016 | 23:13:19] Upgrade level player.
[19-12-2016 | 23:13:22] Upgrade level player.
[19-12-2016 | 23:13:24] Upgrade level player.
[19-12-2016 | 23:13:27] Upgrade level player.
[19-12-2016 | 23:13:27] Upgrade level player.
[19-12-2016 | 23:13:28] Upgrade level player.
[19-12-2016 | 23:13:29] Upgrade level player.
[19-12-2016 | 23:13:31] Upgrade level player.
[19-12-2016 | 23:13:33] Upgrade level player.
[19-12-2016 | 23:13:34] Upgrade level player.
[19-12-2016 | 23:13:35] Upgrade level player.
[19-12-2016 | 23:13:36] Upgrade level player.
[19-12-2016 | 23:13:37] Upgrade level player.
[19-12-2016 | 23:13:38] Upgrade level player.
[19-12-2016 | 23:13:41] Upgrade level player.
[19-12-2016 | 23:13:44] Upgrade level player.
[19-12-2016 | 23:13:46] Upgrade level player.
[19-12-2016 | 23:13:49] Upgrade level player.
[19-12-2016 | 23:13:52] Upgrade level player.
[19-12-2016 | 23:13:53] Upgrade level player.
[19-12-2016 | 23:13:54] Upgrade level player.
[19-12-2016 | 23:13:55] Upgrade level player.
[19-12-2016 | 23:13:56] Upgrade level player.
[19-12-2016 | 23:13:56] Upgrade level player.
[19-12-2016 | 23:13:57] Upgrade level player.
[19-12-2016 | 23:13:59] Upgrade level player.
[19-12-2016 | 23:14:00] Upgrade level player.
[19-12-2016 | 23:14:00] Upgrade level player.
[19-12-2016 | 23:14:02] Upgrade level player.
[19-12-2016 | 23:14:06] Upgrade level player.
[19-12-2016 | 23:14:11] Upgrade level player.
[19-12-2016 | 23:14:11] Upgrade level player.
[19-12-2016 | 23:14:12] Upgrade level player.
[19-12-2016 | 23:14:13] Upgrade level player.
